,Title,Topic Label,Accetpance,Difficulty,Frequency,Accepted,Submissions,Premium
793,793. Preimage Size of Factorial Zeroes Function,"['Math', 'Binary Search']",43.20%,Hard,22.8064%;,15.1K,35K,
794,794. Valid Tic-Tac-Toe State,"['Array', 'String']",35.10%,Medium,39.6173%;,53.7K,153.1K,
795,795. Number of Subarrays with Bounded Maximum,"['Array', 'Two Pointers']",52.80%,Medium,51.3095%;,60.3K,114.2K,
796,796. Rotate String,"['String', 'String Matching']",55.10%,Easy,54.8856%;,200.3K,363.4K,
797,797. All Paths From Source to Target,"['Backtracking', 'Depth-First Search', '2+']",82.30%,Medium,71.2359%;,425.7K,517.5K,
798,798. Smallest Rotation with Highest Score,"['Array', 'Prefix Sum']",50.20%,Hard,28.7601%;,11.7K,23.3K,
799,799. Champagne Tower,['Dynamic Programming'],51.30%,Medium,36.1283%;,83.5K,162.8K,
800,800. Similar RGB Color,"['Math', 'String', 'Enumeration']",67.00%,Easy,34.9923%;,16.2K,24.2K,Y
801,801. Minimum Swaps To Make Sequences Increasing,"['Array', 'Dynamic Programming']",39.30%,Hard,30.3128%;,62.1K,157.8K,
802,802. Find Eventual Safe States,"['Depth-First Search', 'Breadth-First Search', '2+']",56.40%,Medium,40.0731%;,118.8K,210.6K,
803,803. Bricks Falling When Hit,"['Array', 'Union Find', 'Matrix']",34.30%,Hard,0%;,27.6K,80.4K,
804,804. Unique Morse Code Words,"['Array', 'Hash Table', 'String']",82.60%,Easy,23.1625%;,310.8K,376.1K,
805,805. Split Array With Same Average,"['Array', 'Math', 'Dynamic Programming', '2+']",25.70%,Hard,30.7903%;,29.9K,116.6K,
806,806. Number of Lines To Write String,"['Array', 'String']",66.60%,Easy,5.9586%;,63.7K,95.7K,
807,807. Max Increase to Keep City Skyline,"['Array', 'Greedy', 'Matrix']",85.90%,Medium,39.3825%;,143.5K,167K,
808,808. Soup Servings,"['Math', 'Dynamic Programming', '1+']",43.40%,Medium,71.0556%;,17.4K,40.2K,
809,809. Expressive Words,"['Array', 'Two Pointers', 'String']",46.20%,Medium,40.6119%;,106.8K,231.2K,
810,810. Chalkboard XOR Game,"['Array', 'Math', 'Bit Manipulation', '2+']",56.30%,Hard,0%;,8K,14.3K,
811,811. Subdomain Visit Count,"['Array', 'Hash Table', 'String', '1+']",75.50%,Medium,84.0053%;,206.9K,274.1K,
812,812. Largest Triangle Area,"['Array', 'Math', 'Geometry']",59.90%,Easy,35.2609%;,40.4K,67.4K,
813,813. Largest Sum of Averages,"['Array', 'Dynamic Programming', 'Prefix Sum']",53.00%,Medium,11.1044%;,45.8K,86.5K,
814,814. Binary Tree Pruning,"['Tree', 'Depth-First Search', 'Binary Tree']",72.40%,Medium,31.4888%;,223.2K,308.3K,
815,815. Bus Routes,"['Array', 'Hash Table', 'Breadth-First Search']",45.60%,Hard,61.7579%;,121K,265.4K,
816,816. Ambiguous Coordinates,"['String', 'Backtracking']",56.30%,Medium,28.4803%;,27.5K,48.8K,
817,817. Linked List Components,"['Array', 'Hash Table', 'Linked List']",57.70%,Medium,37.38%;,79.3K,137.4K,
818,818. Race Car,['Dynamic Programming'],43.30%,Hard,88.5189%;,74.6K,172.1K,
819,819. Most Common Word,"['Hash Table', 'String', 'Counting']",44.80%,Easy,37.0093%;,322.1K,719.6K,
820,820. Short Encoding of Words,"['Array', 'Hash Table', 'String', '1+']",60.60%,Medium,0%;,91.4K,150.8K,
821,821. Shortest Distance to a Character,"['Array', 'Two Pointers', 'String']",71.30%,Easy,25.7411%;,155.3K,217.7K,
822,822. Card Flipping Game,"['Array', 'Hash Table']",45.90%,Medium,0%;,15.2K,33.1K,
823,823. Binary Trees With Factors,"['Array', 'Hash Table', 'Dynamic Programming']",49.70%,Medium,49.6993%;,89.5K,180.1K,
824,824. Goat Latin,['String'],67.90%,Easy,14.6633%;,155.7K,229.2K,
825,825. Friends Of Appropriate Ages,"['Array', 'Two Pointers', 'Binary Search', '1+']",46.30%,Medium,13.1068%;,70.7K,152.6K,
826,826. Most Profit Assigning Work,"['Array', 'Two Pointers', 'Binary Search', '2+']",44.80%,Medium,18.9524%;,52.9K,117.9K,
827,827. Making A Large Island,"['Array', 'Depth-First Search', '3+']",44.90%,Hard,57.2308%;,127.7K,284.7K,
828,828. Count Unique Characters of All Substrings of a Given String,"['Hash Table', 'String', 'Dynamic Programming']",51.70%,Hard,8.09945%;,63.4K,122.7K,
829,829. Consecutive Numbers Sum,"['Math', 'Enumeration']",41.60%,Hard,52.3074%;,77.7K,186.9K,
830,830. Positions of Large Groups,['String'],51.80%,Easy,14.4731%;,81.7K,157.6K,
831,831. Masking Personal Information,['String'],47.30%,Medium,22.8064%;,16.4K,34.8K,
832,832. Flipping an Image,"['Array', 'Two Pointers', 'Matrix', '1+']",80.80%,Easy,45.5112%;,352.8K,436.9K,
833,833. Find And Replace in String,"['Array', 'String', 'Sorting']",54.00%,Medium,38.8308%;,133.3K,246.9K,
834,834. Sum of Distances in Tree,"['Dynamic Programming', 'Tree', '2+']",59.20%,Hard,70.6695%;,80.5K,136K,
835,835. Image Overlap,"['Array', 'Matrix']",63.90%,Medium,87.0534%;,88.3K,138.3K,
836,836. Rectangle Overlap,"['Math', 'Geometry']",43.90%,Easy,46.4106%;,121.8K,277.8K,
837,837. New 21 Game,"['Math', 'Dynamic Programming', '2+']",36.20%,Medium,52.5407%;,34.5K,95.4K,
838,838. Push Dominoes,"['Two Pointers', 'String', 'Dynamic Programming']",57.00%,Medium,76.6219%;,111.7K,196.1K,
839,839. Similar String Groups,"['Array', 'String', 'Depth-First Search', '2+']",48.00%,Hard,51.4471%;,63.9K,133.3K,
840,840. Magic Squares In Grid,"['Array', 'Math', 'Matrix']",38.60%,Medium,43.3256%;,35K,90.6K,
841,841. Keys and Rooms,"['Depth-First Search', 'Breadth-First Search', '1+']",71.50%,Medium,64.3284%;,311.5K,435.8K,
842,842. Split Array into Fibonacci Sequence,"['String', 'Backtracking']",38.40%,Medium,46.0662%;,35K,91.1K,
843,843. Guess the Word,"['Array', 'Math', 'String', '2+']",41.40%,Hard,67.4235%;,130.2K,314.3K,
844,844. Backspace String Compare,"['Two Pointers', 'String', 'Stack', '1+']",48.00%,Easy,39.8617%;,614.9K,1.3M,
845,845. Longest Mountain in Array,"['Array', 'Two Pointers', '2+']",40.20%,Medium,64.9256%;,108.5K,269.8K,
846,846. Hand of Straights,"['Array', 'Hash Table', 'Greedy', '1+']",56.20%,Medium,28.7601%;,113.6K,202K,
847,847. Shortest Path Visiting All Nodes,"['Dynamic Programming', 'Bit Manipulation', '3+']",61.00%,Hard,43.117%;,68.7K,112.6K,
848,848. Shifting Letters,"['Array', 'String']",45.20%,Medium,50.7931%;,84.5K,186.8K,
849,849. Maximize Distance to Closest Person,['Array'],47.60%,Medium,73.2924%;,197K,413.7K,
850,850. Rectangle Area II,"['Array', 'Segment Tree', 'Line Sweep', '1+']",53.90%,Hard,57.3832%;,32.3K,60K,
851,851. Loud and Rich,"['Array', 'Depth-First Search', 'Graph', '1+']",58.40%,Medium,12.6554%;,32.4K,55.5K,
852,852. Peak Index in a Mountain Array,"['Array', 'Binary Search']",69.10%,Medium,73.1003%;,531.8K,769.6K,
853,853. Car Fleet,"['Array', 'Stack', 'Sorting', '1+']",50.30%,Medium,34.4617%;,129.3K,257.4K,
854,854. K-Similar Strings,"['String', 'Breadth-First Search']",40.10%,Hard,32.1117%;,40.6K,101.2K,
855,855. Exam Room,"['Design', 'Heap (Priority Queue)', 'Ordered Set']",43.40%,Medium,46.2983%;,54K,124.3K,
856,856. Score of Parentheses,"['String', 'Stack']",64.80%,Medium,39.4978%;,155.7K,240.4K,
857,857. Minimum Cost to Hire K Workers,"['Array', 'Greedy', 'Sorting', '1+']",52.20%,Hard,35.8463%;,58.3K,111.6K,
858,858. Mirror Reflection,"['Math', 'Geometry', 'Number Theory']",63.10%,Medium,28.4803%;,75.6K,119.8K,
859,859. Buddy Strings,"['Hash Table', 'String']",29.20%,Easy,51.5918%;,144.2K,494.6K,
860,860. Lemonade Change,"['Array', 'Greedy']",52.90%,Easy,32.8953%;,124.5K,235.4K,
861,861. Score After Flipping Matrix,"['Array', 'Greedy', 'Bit Manipulation', '1+']",74.90%,Medium,30.5193%;,40.7K,54.3K,
862,862. Shortest Subarray with Sum at Least K,"['Array', 'Binary Search', 'Queue', '4+']",26.00%,Hard,47.6207%;,84.1K,323.1K,
863,863. All Nodes Distance K in Binary Tree,"['Tree', 'Depth-First Search', '2+']",62.20%,Medium,60.4303%;,296.8K,476.9K,
864,864. Shortest Path to Get All Keys,"['Array', 'Bit Manipulation', '2+']",45.50%,Hard,73.1194%;,30.5K,67K,
865,865. Smallest Subtree with all the Deepest Nodes,"['Hash Table', 'Tree', 'Depth-First Search', '2+']",68.90%,Medium,5.49016%;,115.4K,167.4K,
866,866. Prime Palindrome,['Math'],25.80%,Medium,33.203%;,28.1K,109.1K,
867,867. Transpose Matrix,"['Array', 'Matrix', 'Simulation']",64.10%,Easy,57.5418%;,238K,371K,
868,868. Binary Gap,['Bit Manipulation'],62.20%,Easy,26.0755%;,68.2K,109.6K,
869,869. Reordered Power of 2,"['Math', 'Sorting', 'Counting', '1+']",63.60%,Medium,38.0992%;,106.6K,167.6K,
870,870. Advantage Shuffle,"['Array', 'Two Pointers', 'Greedy', '1+']",51.80%,Medium,35.9968%;,59.8K,115.4K,
871,871. Minimum Number of Refueling Stops,"['Array', 'Dynamic Programming', 'Greedy', '1+']",39.80%,Hard,53.4515%;,121.8K,306K,
872,872. Leaf-Similar Trees,"['Tree', 'Depth-First Search', 'Binary Tree']",67.60%,Easy,59.0131%;,250.6K,370.7K,
873,873. Length of Longest Fibonacci Subsequence,"['Array', 'Hash Table', 'Dynamic Programming']",48.30%,Medium,52.5407%;,55.4K,114.7K,
874,874. Walking Robot Simulation,"['Array', 'Simulation']",38.90%,Medium,32.997%;,36.1K,92.9K,
875,875. Koko Eating Bananas,"['Array', 'Binary Search']",52.30%,Medium,70.2505%;,341.6K,653.7K,
876,876. Middle of the Linked List,"['Linked List', 'Two Pointers']",75.50%,Easy,70.0355%;,1.3M,1.7M,
877,877. Stone Game,"['Array', 'Math', 'Dynamic Programming', '1+']",69.70%,Medium,41.0481%;,182.7K,261.9K,
878,878. Nth Magical Number,"['Math', 'Binary Search']",35.30%,Hard,54.8355%;,32.9K,93K,
879,879. Profitable Schemes,"['Array', 'Dynamic Programming']",40.60%,Hard,24.3803%;,17.8K,43.8K,
880,880. Decoded String at Index,"['String', 'Stack']",28.30%,Medium,12.232%;,36.1K,127.4K,
881,881. Boats to Save People,"['Array', 'Two Pointers', 'Greedy', '1+']",53.10%,Medium,43.9204%;,173.6K,327.1K,
882,882. Reachable Nodes In Subdivided Graph,"['Graph', 'Heap (Priority Queue)', 'Shortest Path']",50.20%,Hard,21.4467%;,23.4K,46.5K,
883,883. Projection Area of 3D Shapes,"['Array', 'Math', 'Geometry', '1+']",71.20%,Easy,17.1325%;,46.8K,65.8K,
884,884. Uncommon Words from Two Sentences,"['Hash Table', 'String']",66.30%,Easy,14.5202%;,115.7K,174.4K,
885,885. Spiral Matrix III,"['Array', 'Matrix', 'Simulation']",73.40%,Medium,41.9109%;,40.9K,55.8K,
886,886. Possible Bipartition,"['Depth-First Search', 'Breadth-First Search', '2+']",50.00%,Medium,76.546%;,178.9K,357.8K,
887,887. Super Egg Drop,"['Math', 'Binary Search', 'Dynamic Programming']",27.20%,Hard,40.6703%;,58.6K,215.8K,
888,888. Fair Candy Swap,"['Array', 'Hash Table', 'Binary Search', '1+']",60.70%,Easy,52.4147%;,99.5K,164K,
889,889. Construct Binary Tree from Preorder and Postorder Traversal,"['Array', 'Hash Table', 'Divide and Conquer', '2+']",71.00%,Medium,28.3812%;,86.9K,122.4K,
890,890. Find and Replace Pattern,"['Array', 'Hash Table', 'String']",77.60%,Medium,37.0678%;,168K,216.5K,
891,891. Sum of Subsequence Widths,"['Array', 'Math', 'Sorting']",36.60%,Hard,32.7945%;,18.3K,50.1K,
892,892. Surface Area of 3D Shapes,"['Array', 'Math', 'Geometry', '1+']",64.00%,Easy,25.795%;,33.6K,52.5K,
893,893. Groups of Special-Equivalent Strings,"['Array', 'Hash Table', 'String']",71.10%,Medium,44.746%;,44.6K,62.7K,
894,894. All Possible Full Binary Trees,"['Dynamic Programming', 'Tree', 'Recursion', '2+']",80.00%,Medium,57.1778%;,105.7K,132.2K,
895,895. Maximum Frequency Stack,"['Hash Table', 'Stack', 'Design', '1+']",66.60%,Hard,60.799%;,150.1K,225.2K,
896,896. Monotonic Array,['Array'],58.40%,Easy,32.0585%;,254K,435.2K,
897,897. Increasing Order Search Tree,"['Stack', 'Tree', 'Depth-First Search', '2+']",78.40%,Easy,20.1725%;,244.7K,312K,
898,898. Bitwise ORs of Subarrays,"['Array', 'Dynamic Programming', '1+']",37.20%,Medium,33.5231%;,30.5K,82K,
899,899. Orderly Queue,"['Math', 'String', 'Sorting']",66.30%,Hard,88.9715%;,64.3K,97K,
900,900. RLE Iterator,"['Array', 'Design', 'Counting', '1+']",59.40%,Medium,48.8886%;,63.1K,106.2K,
901,901. Online Stock Span,"['Stack', 'Design', 'Monotonic Stack', '1+']",65.20%,Medium,70.9124%;,216.6K,332.2K,
902,902. Numbers At Most N Given Digit Set,"['Array', 'Math', 'String', '2+']",41.40%,Hard,40.8815%;,39.6K,95.6K,
903,903. Valid Permutations for DI Sequence,['Dynamic Programming'],57.80%,Hard,0%;,13.6K,23.5K,
904,904. Fruit Into Baskets,"['Array', 'Hash Table', 'Sliding Window']",43.70%,Medium,80.7316%;,327.2K,748.4K,
905,905. Sort Array By Parity,"['Array', 'Two Pointers', 'Sorting']",75.60%,Easy,29.3169%;,589.3K,779.5K,
906,906. Super Palindromes,"['Math', 'Enumeration']",38.80%,Hard,26.6969%;,22.5K,57.8K,
907,907. Sum of Subarray Minimums,"['Array', 'Dynamic Programming', 'Stack', '1+']",35.80%,Medium,84.4108%;,142.6K,398.2K,
908,908. Smallest Range I,"['Array', 'Math']",68.20%,Easy,35.5471%;,71K,104.1K,
909,909. Snakes and Ladders,"['Array', 'Breadth-First Search', 'Matrix']",45.10%,Medium,74.241%;,135.8K,301.1K,
910,910. Smallest Range II,"['Array', 'Math', 'Greedy', '1+']",35.10%,Medium,54.0107%;,45.9K,130.7K,
911,911. Online Election,"['Array', 'Hash Table', 'Binary Search', '1+']",52.20%,Medium,13.3173%;,48.4K,92.8K,
912,912. Sort an Array,"['Array', 'Divide and Conquer', 'Sorting', '5+']",59.70%,Medium,76.4583%;,439.2K,735.9K,
913,913. Cat and Mouse,"['Math', 'Dynamic Programming', 'Graph', '3+']",34.90%,Hard,22.1788%;,17K,48.7K,
914,914. X of a Kind in a Deck of Cards,"['Array', 'Hash Table', 'Math', '2+']",31.30%,Easy,23.4197%;,102.8K,328.8K,
915,915. Partition Array into Disjoint Intervals,['Array'],48.50%,Medium,41.544%;,73.6K,151.6K,
916,916. Word Subsets,"['Array', 'Hash Table', 'String']",53.70%,Medium,19.0883%;,107.7K,200.4K,
917,917. Reverse Only Letters,"['Two Pointers', 'String']",62.00%,Easy,25.0631%;,159.4K,257.3K,
918,918. Maximum Sum Circular Subarray,"['Array', 'Divide and Conquer', '3+']",42.90%,Medium,78.2283%;,204K,475.6K,
919,919. Complete Binary Tree Inserter,"['Tree', 'Breadth-First Search', 'Design', '1+']",65.10%,Medium,17.1325%;,45K,69K,
920,920. Number of Music Playlists,"['Math', 'Dynamic Programming', 'Combinatorics']",50.80%,Hard,32.997%;,22.3K,44K,
921,921. Minimum Add to Make Parentheses Valid,"['String', 'Stack', 'Greedy']",75.80%,Medium,39.0509%;,251.1K,331.2K,
922,922. Sort Array By Parity II,"['Array', 'Two Pointers', 'Sorting']",70.70%,Easy,23.6311%;,214.1K,302.9K,
923,923. 3Sum With Multiplicity,"['Array', 'Hash Table', 'Two Pointers', '2+']",45.30%,Medium,30.5193%;,95.4K,210.6K,
924,924. Minimize Malware Spread,"['Array', 'Depth-First Search', '3+']",42.10%,Hard,29.7983%;,42.9K,101.9K,
925,925. Long Pressed Name,"['Two Pointers', 'String']",33.20%,Easy,28.283%;,114.9K,346.7K,
926,926. Flip String to Monotone Increasing,"['String', 'Dynamic Programming']",61.50%,Medium,85.6364%;,173.9K,282.7K,
927,927. Three Equal Parts,"['Array', 'Math']",39.50%,Hard,46.6618%;,27.7K,70.2K,
928,928. Minimize Malware Spread II,"['Array', 'Depth-First Search', '3+']",42.70%,Hard,19.1985%;,18.2K,42.6K,
929,929. Unique Email Addresses,"['Array', 'Hash Table', 'String']",67.10%,Easy,62.2237%;,415.5K,618.9K,
930,930. Binary Subarrays With Sum,"['Array', 'Hash Table', 'Sliding Window', '1+']",52.00%,Medium,34.9923%;,64.9K,124.7K,
931,931. Minimum Falling Path Sum,"['Array', 'Dynamic Programming', 'Matrix']",69.10%,Medium,60.7953%;,235.5K,340.8K,
932,932. Beautiful Array,"['Array', 'Math', 'Divide and Conquer']",65.20%,Medium,57.0988%;,39.4K,60.5K,
933,933. Number of Recent Calls,"['Design', 'Queue', 'Data Stream']",73.20%,Easy,39.1798%;,139.6K,190.8K,
934,934. Shortest Bridge,"['Array', 'Depth-First Search', '2+']",54.30%,Medium,53.1008%;,124.3K,228.7K,
935,935. Knight Dialer,['Dynamic Programming'],50.40%,Medium,63.4687%;,98.3K,194.9K,
936,936. Stamping The Sequence,"['String', 'Stack', 'Greedy', '1+']",63.00%,Hard,59.7914%;,56.2K,89.1K,
937,937. Reorder Data in Log Files,"['Array', 'String', 'Sorting']",56.40%,Medium,62.681%;,340.4K,603.7K,
938,938. Range Sum of BST,"['Tree', 'Depth-First Search', '2+']",85.90%,Easy,66.1568%;,771.6K,898.5K,
939,939. Minimum Area Rectangle,"['Array', 'Hash Table', 'Math', '2+']",52.90%,Medium,43.4928%;,121.2K,229K,
940,940. Distinct Subsequences II,"['String', 'Dynamic Programming']",44.00%,Hard,51.5251%;,32.5K,73.9K,
941,941. Valid Mountain Array,['Array'],33.40%,Easy,26.2605%;,354.4K,1.1M,
942,942. DI String Match,"['Array', 'Two Pointers', 'String', '1+']",77.30%,Easy,29.8155%;,128.7K,166.6K,
943,943. Find the Shortest Superstring,"['Array', 'String', 'Dynamic Programming', '2+']",44.50%,Hard,72.8322%;,25.8K,58K,
944,944. Delete Columns to Make Sorted,"['Array', 'String']",74.80%,Easy,73.42%;,168.7K,225.5K,
945,945. Minimum Increment to Make Array Unique,"['Array', 'Greedy', 'Sorting', '1+']",51.10%,Medium,70.0868%;,73.3K,143.5K,
946,946. Validate Stack Sequences,"['Array', 'Stack', 'Simulation']",67.70%,Medium,46.1191%;,198K,292.5K,
947,947. Most Stones Removed with Same Row or Column,"['Depth-First Search', 'Union Find', 'Graph']",58.90%,Medium,77.3536%;,172.3K,292.7K,
948,948. Bag of Tokens,"['Array', 'Two Pointers', 'Greedy', '1+']",52.10%,Medium,37.6517%;,100.3K,192.5K,
949,949. Largest Time for Given Digits,"['String', 'Enumeration']",35.20%,Medium,36.8023%;,78.1K,222K,
950,950. Reveal Cards In Increasing Order,"['Array', 'Queue', 'Sorting', '1+']",77.80%,Medium,30.0579%;,66.2K,85.1K,
951,951. Flip Equivalent Binary Trees,"['Tree', 'Depth-First Search', 'Binary Tree']",66.80%,Medium,33.4656%;,127.8K,191.3K,
952,952. Largest Component Size by Common Factor,"['Array', 'Math', 'Union Find']",40.10%,Hard,19.1586%;,48.5K,120.9K,
953,953. Verifying an Alien Dictionary,"['Array', 'Hash Table', 'String']",54.50%,Easy,65.1757%;,454K,833.6K,
954,954. Array of Doubled Pairs,"['Array', 'Hash Table', 'Greedy', '1+']",39.10%,Medium,8.18955%;,80.4K,205.9K,
955,955. Delete Columns to Make Sorted II,"['Array', 'String', 'Greedy']",34.70%,Medium,46.3401%;,17.7K,51K,
956,956. Tallest Billboard,"['Array', 'Dynamic Programming']",39.90%,Hard,18.2526%;,15.8K,39.5K,
957,957. Prison Cells After N Days,"['Array', 'Hash Table', 'Math', '1+']",39.10%,Medium,34.9923%;,151.5K,387.9K,
958,958. Check Completeness of a Binary Tree,"['Tree', 'Breadth-First Search', 'Binary Tree']",56.10%,Medium,0.516723%;,192.6K,343.2K,
959,959. Regions Cut By Slashes,"['Depth-First Search', 'Breadth-First Search', '2+']",69.20%,Medium,37.4581%;,44.8K,64.8K,
960,960. Delete Columns to Make Sorted III,"['Array', 'String', 'Dynamic Programming']",57.20%,Hard,21.7694%;,12K,21K,
961,961. N-Repeated Element in Size 2N Array,"['Array', 'Hash Table']",76.00%,Easy,6.82001%;,202.3K,266K,
962,962. Maximum Width Ramp,"['Array', 'Stack', 'Monotonic Stack']",48.90%,Medium,31.9004%;,39.4K,80.5K,
963,963. Minimum Area Rectangle II,"['Array', 'Math', 'Geometry']",54.70%,Medium,21.4467%;,25K,45.8K,
964,964. Least Operators to Express Number,"['Math', 'Dynamic Programming']",47.90%,Hard,0%;,8.8K,18.3K,
965,965. Univalued Binary Tree,"['Tree', 'Depth-First Search', '2+']",69.60%,Easy,4.64141%;,188.2K,270.2K,
966,966. Vowel Spellchecker,"['Array', 'Hash Table', 'String']",51.40%,Medium,0%;,38.2K,74.2K,
967,967. Numbers With Same Consecutive Differences,"['Backtracking', 'Breadth-First Search']",57.40%,Medium,59.7488%;,119.2K,207.7K,
968,968. Binary Tree Cameras,"['Dynamic Programming', 'Tree', '2+']",46.60%,Hard,50.7203%;,119.2K,255.4K,
969,969. Pancake Sorting,"['Array', 'Two Pointers', 'Greedy', '1+']",70.10%,Medium,41.7445%;,82.8K,118.1K,
970,970. Powerful Integers,"['Hash Table', 'Math']",43.60%,Medium,20.5072%;,49.9K,114.5K,
971,971. Flip Binary Tree To Match Preorder Traversal,"['Tree', 'Depth-First Search', 'Binary Tree']",50.10%,Medium,16.6236%;,38.3K,76.6K,
972,972. Equal Rational Numbers,"['Math', 'String']",43.40%,Hard,0%;,6.1K,14.2K,
973,973. K Closest Points to Origin,"['Array', 'Math', 'Divide and Conquer', '4+']",65.70%,Medium,49.6561%;,956.5K,1.5M,
974,974. Subarray Sums Divisible by K,"['Array', 'Hash Table', 'Prefix Sum']",54.40%,Medium,92.231%;,193.5K,355.6K,
975,975. Odd Even Jump,"['Array', 'Dynamic Programming', 'Stack', '2+']",38.90%,Hard,35.6104%;,72.1K,185K,
976,976. Largest Perimeter Triangle,"['Array', 'Math', 'Greedy', '1+']",54.60%,Easy,68.0997%;,198.5K,363.4K,
977,977. Squares of a Sorted Array,"['Array', 'Two Pointers', 'Sorting']",71.90%,Easy,53.9364%;,1.4M,1.9M,
978,978. Longest Turbulent Subarray,"['Array', 'Dynamic Programming', 'Sliding Window']",47.20%,Medium,34.1142%;,82.4K,174.6K,
979,979. Distribute Coins in Binary Tree,"['Tree', 'Depth-First Search', 'Binary Tree']",72.20%,Medium,46.2797%;,100.5K,139.3K,
980,980. Unique Paths III,"['Array', 'Backtracking', 'Bit Manipulation', '1+']",81.80%,Hard,49.4755%;,172.3K,210.6K,
981,981. Time Based Key-Value Store,"['Hash Table', 'String', 'Binary Search', '1+']",52.40%,Medium,70.7544%;,307K,586.2K,
982,982. Triples with Bitwise AND Equal To Zero,"['Array', 'Hash Table', 'Bit Manipulation']",57.60%,Hard,0%;,14.7K,25.5K,
983,983. Minimum Cost For Tickets,"['Array', 'Dynamic Programming']",64.30%,Medium,44.8462%;,188.1K,292.5K,
984,984. String Without AAA or BBB,"['String', 'Greedy']",43.10%,Medium,15.8399%;,40K,92.9K,
985,985. Sum of Even Numbers After Queries,"['Array', 'Simulation']",68.20%,Medium,72.7378%;,130.9K,192K,
